ID,AltName,Age1,R_gc,X,Y,Z,v_r,+/-,v_gr,sig_v,[Fe/H],E(B-V),V_HB,(m-M)V,V_t,"M_V,t",U-B,B-V,V-R,V-I,ellip,L,B,Mstar,rh,C5
NGC6341,M92,13.2,9.6,2.5,6.3,4.7,-120,0.1,-316.9379929,6,-2.31,0.02,15.1,14.65,6.44,-8.21,0.01,0.63,,0.88,0.1,68.34,34.86,4.89,4.19,1.17
NGC6342,,,1.7,8.4,0.7,1.4,115.7,1.4,109.702335,5.2,-0.55,0.46,16.8,16.08,9.66,-6.42,0.77,1.26,0.8,1.57,0.18,4.9,9.72,,,
NGC6352,NONE,12.7,3.3,5.3,-1.8,-0.7,-137,1.1,-57.4123158,,-0.64,0.22,15.13,14.43,7.96,-6.47,0.64,1.06,0.66,1.5,0.07,41.42,-7.17,0.37,5.68,0.065
NGC6355,,,1.4,9.2,-0.1,0.9,-176.9,7.1,-162.7801044,,-1.37,0.77,17.8,17.21,9.14,-8.07,0.72,1.48,0.93,1.83,,59.59,5.43,,,
NGC6356,,,7.5,14.7,1.7,2.7,27,4.3,14.10952522,,-0.4,0.28,17.5,16.76,8.25,-8.51,0.63,1.13,0.69,1.45,0.03,6.72,10.22,,,
NGC6362,NONE,13.6,5.1,6,-4.1,-2.3,-13.1,0.6,116.6298371,2.8,-0.99,0.09,15.33,14.68,7.73,-6.95,0.29,0.85,0.56,1.14,0.07,25.55,-17.57,0.81,7.7,0.11
NGC6366,NONE,13.3,5,3.2,1.1,1,-122.2,0.5,-181.0310632,1.3,-0.59,0.71,15.65,14.94,9.2,-5.74,0.97,1.44,,,0.16,18.41,16.04,0.3,5.05,0.058
NGC6380,,,3.3,10.7,-1.9,-0.6,-3.6,2.5,44.98809159,,-0.75,1.17,19.5,18.81,11.31,-7.5,,2.01,,,,50.18,-3.42,,,
NGC6388,NONE,11.7,3.1,9.6,-2.5,-1.2,80.1,0.8,144.7936996,18.9,-0.55,0.37,16.85,16.13,6.72,-9.41,0.66,1.17,0.71,1.47,0.01,45.56,-6.74,12,2.5,4.8
NGC6397,NONE,13.4,6,2.1,-0.8,-0.5,18.8,0.1,104.9761699,4.5,-2.02,0.18,12.87,12.37,5.73,-6.64,0.12,0.73,0.49,1.03,0.07,38.17,-11.96,1.1,3.3,0.33
NGC6401,,,2.7,10.5,0.6,0.7,-65,8.6,-65.8857664,,-1.02,0.72,18,17.35,9.45,-7.9,0.93,1.58,1.02,2.01,0.15,3.45,3.98,,,
NGC6402,,,4,8.3,3.3,2.4,-66.1,1.8,-134.8657865,,-1.28,0.6,17.3,16.69,7.59,-9.1,0.57,1.25,0.81,1.64,0.11,21.32,14.81,,,
NGC6426,,,14.4,17.4,9.3,5.8,-162,23,-253.4445351,,-2.15,0.36,18.16,17.68,11.01,-6.67,0.35,1.02,,1.28,0.15,28.09,16.23,,,
NGC6440,,,1.3,8.4,1.1,0.6,-76.6,2.7,-93.38803368,,-0.36,1.07,18.7,17.95,9.2,-8.75,1.47,1.97,1.24,2.51,0.01,7.73,3.8,,,
NGC6441,NONE,11.2,3.9,11.5,-1.3,-1,16.5,1,51.33034491,18,-0.46,0.47,17.51,16.78,7.15,-9.63,0.81,1.27,0.79,1.62,0.02,53.53,-5.01,9.55,3.3,2.92
NGC6453,,,3.7,11.5,-0.9,-0.8,-83.7,8.3,-56.16953577,,-1.5,0.64,17.88,17.3,10.08,-7.22,0.68,1.31,0.99,2,0.09,55.72,-3.87,,,
NGC6496,NONE,12.4,4.2,10.9,-2.3,-2,-112.7,5.7,-58.29207831,,-0.46,0.15,16.47,15.74,8.54,-7.2,0.45,0.98,,,0.16,48.03,-10.01,2,5.7,0.35
NGC6517,,,4.2,10,3.5,1.3,-39.6,8,-100.2854039,,-1.23,1.08,19.1,18.48,10.23,-8.25,0.85,1.75,,2.31,0.06,19.23,6.76,,,
NGC6522,,,0.6,7.7,0.1,-0.5,-21.1,3.4,-13.32215609,6.7,-1.34,0.48,16.52,15.92,8.27,-7.65,0.65,1.21,0.76,1.51,0.06,1.02,-3.93,,,
NGC6528,,,0.6,7.9,0.2,-0.6,206.6,1.4,211.6036875,,-0.11,0.54,16.95,16.17,9.6,-6.57,1.09,1.53,0.9,1.74,0.11,1.14,-4.17,,,
NGC6535,NONE,10.5,3.9,6,3.1,1.2,-215.1,0.5,-304.1650562,2.4,-1.79,0.34,15.75,15.22,10.47,-4.75,0.29,0.94,,,0.08,27.18,10.44,0.2,2.86,0.07
NGC6539,,,3,7.2,2.8,0.9,31,1.7,-36.84139194,,-0.63,1.02,18.33,17.62,9.33,-8.29,1.01,1.83,,2.23,0.08,20.8,6.78,,,
NGC6540,,,2.8,5.2,0.3,-0.3,-17.7,1.4,-19.59703373,,-1.35,0.66,16.25,15.65,9.3,-6.35,,,,,,3.29,-3.31,,,
NGC6541,NONE,12.9,2.1,7.3,-1.4,-1.5,-158.7,2.3,-108.3879334,8.2,-1.81,0.14,15.35,14.82,6.3,-8.52,0.13,0.76,0.49,1.01,0.12,49.29,-11.19,5.72,3.93,1.45
NGC6544,,,5.1,2.9,0.3,-0.1,-27.3,3.9,-38.92199628,,-1.4,0.76,15.3,14.71,7.77,-6.94,0.73,1.46,0.98,1.92,0.22,5.84,-2.2,,,
NGC6553,,,2.2,5.9,0.5,-0.3,-3.2,1.5,-10.91031993,,-0.18,0.63,16.6,15.83,8.06,-7.77,1.34,1.73,1.01,2.13,0.17,5.26,-3.03,,,
NGC6558,,,1,7.3,0,-0.8,-197.2,1.5,-186.9558518,3.1,-1.32,0.44,16.3,15.7,9.26,-6.44,0.58,1.11,0.71,1.46,,0.2,-6.02,,,
NGC6569,,,3.1,10.8,0.1,-1.3,-28.1,5.6,-19.96343258,,-0.76,0.53,17.52,16.83,8.55,-8.28,0.74,1.34,0.83,1.69,0,0.48,-6.68,,,
